ingredient_th,baowio_food_code,baowio_matched_name_th,energy_kcal_per100g,protein_g_per100g,fat_g_per100g,carb_g_per100g,source_note
เส้นก๋วยจั๊บ (แผ่นม้วน),A4,"ก๋วยเตี๋ยวเส้นใหญ่, สด",155.0,2.87,1.71,,BaoWio
หมูสามชั้น,F69,"หมู, สามชั้น, ดิบ",363.0,14.23,34.07,0.0,BaoWio+USDA patch
เต้าหู้,C47,"เต้าหู้ขาว, ชนิดอ่อน, บรรจุกล่อง",53.0,6.36,3.06,1.9,BaoWio+USDA patch
น้ำซุปพะโล้ 5 spice,–,น้ำซุปพะโล้,20.0,1.0,0.5,3.0,USDA broth+spice
พริกไทยป่น,–,พริกไทยป่น,251.0,10.4,3.3,63.7,HARDCODE
เส้นข้าวซอย (เส้นต้ม+เส้นทอด),A3,"ก๋วยเตี๋ยวเส้นเล็ก, สด",234.0,4.07,0.95,,BaoWio
ไก่,F25,"ไก่, เนื้อ, ดิบ",186.0,17.3,12.4,,BaoWio
กะทิ,–,กะทิ,230.0,2.3,23.8,5.5,USDA coconut milk
พริกแกงข้าวซอย,–,พริกแกงข้าวซอย,95.0,3.0,2.5,14.0,USDA curry paste
หอมแดงดอง,–,หอมแดงดอง,60.0,1.0,0.1,14.0,USDA pickled shallot
ผักกาดดอง,–,ผักกาดดอง,15.0,0.5,0.1,3.0,USDA pickled mustard
มะนาว,–,มะนาว,30.0,0.7,0.2,10.5,USDA lime
หมูสับ,F75,"หมู, เนื้อ, ดิบ",124.0,21.13,3.97,,BaoWio
ฟักเขียว,D107,"ฟักเขียว, ดิบ",13.0,0.42,0.08,3.0,BaoWio+USDA patch
แครอท,D27,"แครอท, ดิบ",41.0,1.61,0.23,9.6,BaoWio+USDA patch
ต้นหอม,D30,ต้นหอม,32.0,1.69,0.21,7.3,BaoWio+USDA patch
ผักชี,–,ผักชี,23.0,2.1,0.5,3.7,USDA cilantro
น้ำซุป,–,น้ำซุป,10.0,1.0,0.3,1.0,USDA broth
ซีอิ๊ว,–,ซีอิ๊ว,53.0,8.1,0.1,4.9,HARDCODE
พริกไทย,–,พริกไทย,251.0,10.4,3.3,63.7,HARDCODE
พริกแกงเขียวหวาน,–,พริกแกงเขียวหวาน,100.0,3.0,3.0,15.0,USDA green curry paste
มะเขือพวง,–,มะเขือพวง,25.0,1.4,0.3,5.1,USDA pea eggplant
มะเขือเปราะ,–,มะเขือเปราะ,25.0,1.0,0.2,5.7,USDA Thai eggplant
ใบมะกรูด,–,ใบมะกรูด,20.0,0.5,0.5,5.0,USDA approx
พริกชี้ฟ้า,–,พริกชี้ฟ้า,40.0,2.0,0.4,8.8,USDA chili pepper
พริกแห้ง,–,พริกแห้ง,314.0,12.8,17.0,56.6,USDA dried chili
ตะไคร้,–,ตะไคร้,99.0,1.8,0.5,25.3,USDA lemongrass
ข่า,–,ข่า,70.0,1.7,0.7,15.8,USDA galangal
หอมแดง,–,หอมแดง,72.0,2.5,0.1,16.8,USDA shallot
กะปิ,–,กะปิ,170.0,18.7,5.4,11.0,USDA shrimp paste
เห็ดฟาง,–,เห็ดฟาง,38.0,3.7,0.5,6.8,USDA straw mushroom
พริกขี้หนู,–,พริกขี้หนู,40.0,2.0,0.4,8.8,USDA bird eye chili
น้ำมะนาว,–,น้ำมะนาว,25.0,0.4,0.2,7.9,USDA lime juice
พริกแกงฮังเล,–,พริกแกงฮังเล,95.0,3.0,2.5,14.0,USDA curry paste
ขิง,–,ขิง,80.0,1.8,0.8,17.8,USDA ginger
หอยแครง,G169,"หอยแครง, ดิบ",58.0,11.26,0.98,,BaoWio
พริกแกงคั่ว,–,พริกแกงคั่ว,100.0,3.0,3.0,15.0,USDA curry paste
สับปะรด,–,สับปะรด,50.0,0.5,0.1,13.1,USDA pineapple
ถั่วฝักยาว,–,ถั่วฝักยาว,47.0,2.8,0.4,8.4,USDA long bean
มะเขือ,–,มะเขือ,25.0,1.0,0.2,5.9,USDA eggplant
ปลา,F100,"ปลาเนื้ออ่อน, สด",83.0,15.98,1.96,,BaoWio
มะละกอ,D134,"มะละกอ, ดิบ",43.0,0.62,0.1,10.8,BaoWio+USDA patch
ขมิ้น,–,ขมิ้น,312.0,9.7,3.3,67.1,HARDCODE
น้ำมะขาม,–,น้ำมะขาม,50.0,0.4,0.1,12.0,USDA tamarind
เนื้อปลา,F100,"ปลาเนื้ออ่อน, สด",83.0,15.98,1.96,,BaoWio
พริกแกงแดง,–,พริกแกงแดง,100.0,3.0,3.0,15.0,USDA red curry paste
ใบชะพลู,–,ใบชะพลู,40.0,3.0,0.5,7.0,USDA wild pepper leaf
เม็ดมะม่วงหิมพานต์,–,เม็ดมะม่วงหิมพานต์,553.0,18.2,43.8,30.2,USDA cashew
พริกหยวก,–,พริกหยวก,31.0,1.0,0.3,6.0,USDA bell pepper
หัวหอม,D348,หอมหัวใหญ่,40.0,1.12,0.09,9.3,BaoWio+USDA patch
ซอสหอยนางรม,–,ซอสหอยนางรม,54.0,1.5,0.3,11.1,HARDCODE
น้ำมัน,–,น้ำมันพืช,884.0,0.0,100.0,0.0,HARDCODE
พริกไทยดำเม็ดสด,–,พริกไทยดำ,251.0,10.4,3.3,63.7,HARDCODE
เต้าเจี้ยว,C43,เต้าเจี้ยวขาว,107.0,10.73,3.66,7.77,BaoWio
กะหล่ำปลี,D10,"กะหล่ำปลี, ดิบ",25.0,1.45,0.17,5.8,BaoWio+USDA patch
ใบกะเพรา,–,ใบกะเพรา,22.0,3.2,0.6,2.7,USDA basil
ปูทะเล,G156,"ปูทะเล, เนื้อ",78.0,17.32,2.54,,BaoWio
ผงกะหรี่,–,ผงกะหรี่,325.0,14.3,14.6,55.8,HARDCODE
คื่นฉ่าย,D86,"ผักคื่นช่าย, ดิบ",16.0,1.55,0.18,3.0,BaoWio+USDA patch
นม,–,นมวัว,61.0,3.2,3.3,4.8,HARDCODE
พริกขี้หนูสด,–,พริกขี้หนูสด,40.0,2.0,0.4,8.8,USDA chili fresh
ตะไคร้ซอย,–,ตะไคร้,99.0,1.8,0.5,25.3,USDA lemongrass
ปลาหมึก,G143,"ปลาหมึกกล้วย, สด",91.0,15.36,0.4,,BaoWio
ไข่เค็ม,–,ไข่เค็ม,180.0,13.4,13.4,1.2,USDA salted egg
เนย,–,เนย (butter),717.0,0.9,81.1,0.1,HARDCODE
ข้าวคั่ว,–,ข้าวคั่ว,364.0,6.5,0.8,79.0,USDA toasted rice
พริกแห้งป่น,–,พริกแห้งป่น,314.0,12.8,17.0,56.6,USDA dried chili
มะแขว่น,–,มะแขว่น (Sichuan pepper),300.0,6.7,8.7,66.0,USDA Sichuan pepper
กะปิ (ใส้ไส้),–,กะปิ,170.0,18.7,5.4,11.0,USDA shrimp paste
ปลาดุกทอดกรอบ,F100,"ปลาเนื้ออ่อน, สด",83.0,15.98,1.96,,BaoWio
มะม่วงดิบ,–,มะม่วงดิบ,65.0,0.5,0.3,17.0,USDA green mango
เกลือ,HARDCODE,เกลือ,0.0,0.0,0.0,0.0,เกลือ = 0 kcal
น้ำมัน; น้ำจิ้ม: เนยถั่ว,–,น้ำมันพืช,884.0,0.0,100.0,0.0,HARDCODE
ใบสะระแหน่,–,ใบสะระแหน่,70.0,3.8,0.7,14.9,USDA mint
น้ำมันงา,–,น้ำมันงา,884.0,0.0,100.0,0.0,HARDCODE
ผักชีราก,–,ผักชีราก,23.0,2.1,0.5,3.7,USDA coriander
มะละกอดิบ,D134,"มะละกอ, ดิบ",43.0,0.62,0.1,10.8,BaoWio+USDA patch
กุ้งแห้ง,–,กุ้งแห้ง,275.0,56.6,3.3,4.0,USDA dried shrimp
ลูกสะแก,EST,ลูกสะแก (ประมาณ),30.0,0.5,0.1,7.0,EST — ผลไม้ป่า
กุ้งทะเล,–,กุ้งทะเล,85.0,20.1,0.9,0.0,USDA shrimp raw
เกลือ; น้ำจิ้มซีฟู้ด: น้ำปลา,HARDCODE,เกลือ,0.0,0.0,0.0,0.0,เกลือ = 0 kcal
ข้าวบาสมาติ,A12,"ข้าวเจ้า, พันธุ์หอมมะลิ, ดิบ",357.0,6.45,0.71,,BaoWio
โยเกิร์ต,–,โยเกิร์ต,61.0,3.5,3.3,4.7,HARDCODE
ยี่หร่า,–,ยี่หร่า,375.0,17.8,22.3,44.2,HARDCODE
กานพลู,–,กานพลู,274.0,6.0,13.0,65.5,HARDCODE
อบเชย,–,อบเชย,247.0,4.0,1.2,80.6,HARDCODE
หอยนางรม,–,หอยนางรม,68.0,7.1,2.5,3.9,USDA oyster
แป้งมัน,–,แป้งมันสำปะหลัง,357.0,0.2,0.0,88.0,USDA tapioca starch
แป้งข้าวเจ้า,–,แป้งข้าวเจ้า,366.0,5.9,1.4,80.0,USDA rice flour
ขาหมู,F69,"หมู, สามชั้น, ดิบ",363.0,14.23,34.07,0.0,BaoWio+USDA patch
ไข่ต้ม,–,ไข่ไก่ ต้ม,155.0,12.6,10.6,1.1,USDA boiled egg
ผักดอง,–,ผักดอง,15.0,0.5,0.1,3.0,USDA pickled veg
ข้าวสวย,A11,"ข้าวเจ้า, สุก",130.0,2.28,0.24,31.1,BaoWio+USDA patch
ซีอิ๊วแดง,–,ซีอิ๊วแดง,80.0,4.0,0.1,15.0,USDA sweet soy
น้ำผึ้ง,–,น้ำผึ้ง,304.0,0.3,0.0,82.4,HARDCODE
ผงพะโล้,–,ผงพะโล้ (5-spice),270.0,6.0,6.0,52.0,USDA five-spice
แตงกวา,D34,"แตงกวา, ดิบ",15.0,0.78,0.1,3.6,BaoWio+USDA patch
น้ำส้มสายชู,–,น้ำส้มสายชู,18.0,0.0,0.0,0.9,HARDCODE
น้ำมันทอด,–,น้ำมันพืช (ทอด),884.0,0.0,100.0,0.0,HARDCODE
ไก่ต้ม,F14,"ไก่, ทั้งตัว, ต้ม",241.0,22.9,16.6,0.0,BaoWio+USDA patch
ข้าวหุงด้วยน้ำซุปไก่+กระเทียม+ขิง,A11,"ข้าวเจ้า, สุก",130.0,2.28,0.24,31.1,BaoWio+USDA patch
น้ำจิ้ม: เต้าเจี้ยว,C43,เต้าเจี้ยวขาว,107.0,10.73,3.66,7.77,BaoWio
พริก,–,พริก,40.0,2.0,0.4,8.8,USDA chili
ใบเตย,–,ใบเตย,40.0,2.0,0.3,9.0,USDA pandan approx
แป้งทอด,–,แป้งทอด,350.0,8.0,1.0,77.0,USDA approx
น้ำมันทอด; น้ำจิ้ม: น้ำส้มสายชู,–,น้ำมันพืช (ทอด),884.0,0.0,100.0,0.0,HARDCODE
ถั่วลิสง,C106,"ถั่วลิสง, คั่ว, ไม่รวมเยื่อหุ้มเมล็ด",567.0,26.38,48.65,21.5,BaoWio+USDA patch
ปลากะพง,F101,"ปลาไน, สด",89.0,18.67,2.35,,BaoWio
